Age EnvironmentSatisfaction JobInvolvement JobLevel JobSatisfaction MaritalStatus MonthlyIncome TotalWorkingYears YearsInCurrentRole YearsAtCompany MonthlyIncomeNorm Attrition
40 4 2 1 4 0.0 2342 5 2 4 0.07029107783168108 1.0
23 4 3 1 1 0.0 1790 1 0 1 0.04118329466357309 0.0
53 2 4 3 4 0.0 7005 11 3 4 0.3161780215144484 1.0
38 4 2 1 2 0.0 2440 4 3 4 0.07545876397384518 1.0
36 3 3 1 2 0.0 2143 8 2 5 0.05979751107361316 1.0
29 2 3 3 4 0.0 7918 11 10 11 0.3643218730225691 1.0
38 2 1 3 3 0.0 13206 20 16 18 0.6431659987344442 1.0
47 1 3 3 3 0.0 8633 25 14 17 0.40202488926386837 1.0
32 4 3 2 3 0.0 4883 10 4 10 0.20428179708922167 0.0
36 2 2 2 2 0.0 6499 6 5 6 0.2894958869436828 1.0
49 1 2 2 1 0.0 4284 20 3 4 0.1726956338325248 0.0
34 3 2 1 1 0.0 4381 6 5 6 0.1778105884834423 1.0
39 1 3 2 3 0.0 4534 9 7 8 0.18587850664416788 1.0
30 3 2 3 3 0.0 8474 12 8 11 0.3936405821556634 1.0
51 2 3 3 2 0.0 10596 14 2 4 0.5055368065808901 1.0
60 1 3 2 1 0.0 5405 10 2 2 0.2318076355199325 1.0
50 2 3 2 3 1.0 6728 12 3 6 0.3015713984391479 0.0
45 4 3 1 4 0.0 2132 8 4 5 0.05921746466990086 1.0
56 4 1 3 4 0.0 7260 37 4 6 0.3296245517823244 1.0
46 4 3 3 4 1.0 8578 12 8 9 0.3991246572453069 1.0
42 2 3 1 2 1.0 2766 7 3 5 0.0926492301202278 1.0
60 3 1 3 4 1.0 10883 19 0 1 0.5206707445686564 1.0
53 3 2 3 4 0.0 10169 34 7 33 0.48302045981860364 0.0
39 1 3 2 1 0.0 5151 10 0 10 0.2184138367433031 1.0
48 4 2 5 2 0.0 19665 29 10 22 0.9837587006960556 1.0
37 3 3 2 4 0.0 6502 7 4 5 0.2896540814174225 1.0
41 4 3 2 4 1.0 5467 12 2 6 0.23507698797722 1.0
21 1 3 1 4 0.0 2610 3 2 3 0.08442311748576249 1.0
32 2 3 2 4 1.0 4403 8 2 5 0.1789706812908669 1.0
37 4 2 1 3 0.0 2090 7 0 0 0.057002742037544823 0.0
45 1 3 3 1 1.0 5210 24 9 24 0.2215249947268509 1.0
41 4 3 3 4 0.0 13591 16 0 1 0.6634676228643746 1.0
42 2 4 2 2 0.0 2372 18 0 1 0.07187302256907825 1.0
42 3 3 2 2 0.0 6825 10 7 9 0.30668635309006537 1.0
24 4 3 1 2 0.0 2033 1 0 1 0.05399704703649019 1.0
33 1 3 2 1 0.0 8224 6 2 5 0.38045770934402023 0.0
43 4 3 2 4 0.0 5562 12 2 5 0.2400864796456444 1.0
38 3 3 1 3 0.0 2684 3 1 2 0.08832524783800885 1.0
33 4 3 2 3 0.0 6388 14 0 0 0.28364269141531323 1.0
53 1 2 3 4 0.0 10934 35 2 5 0.5233600506222316 1.0
43 3 3 3 1 0.0 10820 18 7 8 0.5173486606201223 1.0
42 4 2 1 1 1.0 2593 10 6 9 0.08352668213457076 1.0
29 2 1 1 1 0.0 2119 7 7 7 0.058531955283695425 0.0
29 2 3 2 3 0.0 4335 11 7 8 0.1753849398861 1.0
37 2 3 1 2 0.0 3022 8 0 1 0.10614849187935035 1.0
50 1 3 5 2 0.0 18172 28 3 8 0.905030584264923 1.0
29 4 3 2 3 0.0 4649 4 3 4 0.19194262813752372 1.0
33 1 3 3 4 0.0 13458 15 14 15 0.6564543345285805 1.0
55 3 2 4 1 0.0 16756 31 7 9 0.8303627926597764 1.0
51 2 2 3 2 0.0 12490 16 9 10 0.6054102510018984 1.0
30 1 1 1 3 1.0 2613 10 7 10 0.08458131195950222 1.0
49 1 2 5 3 0.0 18711 23 0 1 0.9334528580468255 1.0
47 3 4 2 3 1.0 5067 20 10 19 0.21398439147859102 1.0
31 3 3 1 2 0.0 2501 1 1 1 0.0786753849398861 1.0
47 2 3 1 3 0.0 2105 7 2 2 0.05779371440624341 1.0
58 1 3 1 3 1.0 2372 2 2 2 0.07187302256907825 1.0
41 2 3 5 3 0.0 19545 23 15 22 0.977430921746467 0.0
29 4 2 1 1 0.0 3785 5 4 5 0.14638261970048513 1.0
50 4 4 1 3 0.0 3221 20 8 20 0.11664205863741826 1.0
32 3 2 1 2 0.0 2837 6 2 6 0.09639316599873445 1.0
44 2 3 5 4 1.0 19049 23 7 22 0.951276102088167 1.0
38 3 4 1 3 0.0 2844 7 6 7 0.09676228643746045 1.0
45 2 2 1 3 0.0 2274 1 0 1 0.06670533642691415 1.0
46 1 3 3 3 0.0 10527 28 2 2 0.5018983336848766 1.0
34 4 4 1 4 0.0 2932 6 0 5 0.10140265766715882 1.0
55 3 3 2 2 0.0 6385 17 7 8 0.2834844969415735 1.0
19 2 4 1 4 0.0 2994 1 0 1 0.10467201012444632 1.0
32 1 3 2 4 0.0 6162 9 8 9 0.27172537439358785 1.0
40 3 3 2 3 1.0 3975 11 7 8 0.1564016030373339 1.0
30 3 2 2 2 1.0 5209 11 8 11 0.22147226323560432 1.0
48 4 3 1 3 0.0 2259 13 0 0 0.06591436405821556 1.0
45 1 2 4 4 0.0 16792 22 8 20 0.832261126344653 1.0
29 2 1 1 4 1.0 2720 10 7 10 0.09022358152288547 1.0
46 4 2 2 1 1.0 4615 19 13 16 0.19014975743514026 1.0
41 4 3 2 3 0.0 5003 8 2 2 0.21060957603881036 1.0
41 2 3 1 2 0.0 3140 4 3 4 0.1123708078464459 0.0
52 4 4 4 3 0.0 13247 24 3 5 0.6453279898755537 1.0
51 1 2 3 1 0.0 7484 23 12 13 0.34143640582155665 1.0
36 3 3 1 4 0.0 2644 7 2 3 0.08621598818814596 1.0
38 2 3 2 1 0.0 6673 17 0 1 0.2986711664205864 0.0
31 4 3 2 1 0.0 5332 10 2 5 0.22795823665893272 1.0
44 2 3 2 1 1.0 5454 9 3 4 0.23439147859101456 1.0
30 3 3 2 4 1.0 5304 10 7 8 0.2264817549040287 1.0
31 4 3 1 2 0.0 2302 3 2 3 0.06818181818181818 0.0
27 4 3 1 3 0.0 2394 8 2 8 0.07303311537650285 0.0
24 4 2 2 3 1.0 4377 5 2 4 0.17759966251845602 1.0
50 3 2 1 3 0.0 3690 5 2 3 0.14137312803206076 1.0
39 4 2 2 3 0.0 5902 17 11 15 0.25801518666947904 1.0
30 3 3 2 3 0.0 4695 10 4 8 0.19436827673486606 1.0
30 4 2 2 4 0.0 5126 10 8 10 0.2170955494621388 1.0
59 3 2 5 4 0.0 18844 30 2 3 0.9404661463826197 1.0
36 1 4 3 1 0.0 11713 10 7 8 0.5644378823033115 1.0
29 4 2 1 1 0.0 2404 3 0 0 0.07356043028896857 0.0
30 2 2 1 1 0.0 2033 1 0 1 0.05399704703649019 0.0
50 3 3 5 2 0.0 19926 21 4 5 0.9975216199114111 1.0
37 3 2 1 1 0.0 3920 17 1 3 0.1535013710187724 1.0
38 1 2 3 2 0.0 12061 19 8 10 0.5827884412571187 1.0
41 4 3 2 4 0.0 6230 16 3 14 0.27531111579835477 1.0
29 4 2 1 1 1.0 2109 1 0 1 0.058004640371229696 1.0
45 4 3 2 4 0.0 3697 12 9 10 0.14174224847078676 1.0
29 1 3 2 1 0.0 5373 6 3 5 0.23012022780004218 1.0
42 4 3 4 1 0.0 17665 23 6 22 0.8782957182029107 1.0
48 4 2 5 4 0.0 18265 25 0 1 0.9099346129508542 1.0
20 4 2 1 4 0.0 2926 1 0 1 0.10108626871967939 0.0
31 3 3 3 2 1.0 10648 13 8 13 0.5082788441257119 1.0
41 3 1 2 2 0.0 6430 10 2 3 0.2858574140476693 1.0
29 1 2 1 1 1.0 2335 4 2 2 0.06992195739295508 0.0
42 2 3 2 1 0.0 5155 9 4 6 0.2186247627082894 1.0
36 2 2 2 4 0.0 6652 8 3 6 0.29756380510440833 1.0
32 1 1 2 2 0.0 6735 10 0 0 0.3019405188778739 0.0
36 1 3 2 3 0.0 5347 10 2 3 0.2287492090276313 1.0
42 2 3 1 1 1.0 2576 8 2 5 0.08263024678337903 1.0
43 4 3 4 4 0.0 16064 22 13 17 0.7938726007171483 1.0
36 3 3 2 4 0.0 4502 17 7 13 0.18419109892427757 1.0
36 2 3 2 2 0.0 5674 11 8 9 0.24599240666526048 1.0
36 2 3 3 4 0.0 9738 10 7 9 0.46029318709133094 1.0
38 4 3 2 4 0.0 4735 19 11 13 0.19647753638472895 1.0
33 3 2 1 1 0.0 2799 6 2 3 0.09438936933136469 1.0
45 1 4 2 3 0.0 6434 9 2 3 0.2860683400126556 1.0
27 1 4 2 3 0.0 6500 9 7 8 0.28954861843492935 1.0
34 1 2 2 2 0.0 4599 16 9 15 0.18930605357519512 0.0
29 3 3 1 2 0.0 2703 6 4 5 0.08932714617169374 1.0
32 2 3 2 3 0.0 5010 12 8 11 0.2109786964775364 1.0
44 4 3 4 1 0.0 16328 24 6 20 0.8077937144062434 1.0
40 2 3 4 3 0.0 13237 22 6 20 0.6448006749630879 1.0
55 1 3 4 2 0.0 16835 37 9 10 0.8345285804682556 1.0
41 1 3 5 3 1.0 19419 21 16 18 0.9707867538493988 1.0
43 1 1 2 3 0.0 5346 7 3 4 0.22869647753638472 0.0
38 2 3 2 2 0.0 4198 8 2 3 0.16816072558531955 1.0
29 2 1 1 2 0.0 2760 2 2 2 0.09233284117274837 0.0
45 4 3 3 1 0.0 13245 17 0 0 0.6452225268930606 1.0
34 1 3 2 2 0.0 4325 5 2 5 0.17485762497363425 1.0
38 4 4 1 3 1.0 2610 4 2 4 0.08442311748576249 1.0
55 1 3 3 4 0.0 10239 24 0 1 0.48671166420586376 1.0
40 1 2 3 3 0.0 10435 18 15 18 0.49704703649019194 1.0
20 4 3 1 1 0.0 2728 2 2 2 0.09064543345285804 1.0
33 1 1 1 4 1.0 3408 8 3 4 0.12650284750052732 0.0
31 4 3 1 4 0.0 2356 8 4 6 0.0710293187091331 1.0
40 1 3 3 4 0.0 10322 14 10 11 0.49108837797932925 1.0
50 4 3 4 1 0.0 17856 32 2 2 0.8883674330310061 1.0
27 4 3 1 4 0.0 2580 6 2 4 0.08284117274836532 1.0
36 4 3 3 1 0.0 8321 15 8 12 0.3855726639949378 1.0
53 4 4 4 2 0.0 16598 35 8 9 0.822031217042818 1.0
42 2 4 2 1 0.0 5538 10 0 0 0.23882092385572665 1.0
37 3 2 2 4 1.0 5163 17 0 1 0.21904661463826197 1.0
43 2 3 4 1 0.0 17159 22 1 4 0.8516135836321451 1.0
23 4 3 1 3 0.0 1223 1 0 1 0.011284539126766505 1.0
52 3 3 1 1 0.0 2950 12 4 5 0.10235182450959714 1.0
29 1 3 1 4 1.0 3760 3 2 3 0.14506433241932082 1.0
50 2 2 5 3 1.0 18740 29 3 27 0.9349820712929762 1.0
42 2 3 2 3 0.0 4907 20 16 20 0.20554735287913942 1.0
34 2 4 2 3 0.0 4404 6 3 4 0.17902341278211348 1.0
32 3 3 1 2 0.0 3931 6 3 4 0.1540814174224847 1.0
56 4 2 2 1 0.0 5380 6 0 0 0.23048934823876818 1.0
27 4 3 1 2 1.0 3816 5 2 5 0.14801729592912888 1.0
40 3 3 1 1 0.0 3377 7 3 4 0.12486817127188357 1.0
37 1 3 3 3 1.0 10048 17 0 1 0.4766399493777684 0.0
33 2 2 1 3 1.0 2008 1 1 1 0.052678759755325884 1.0
36 3 3 2 3 0.0 5237 17 7 7 0.22294874499050832 1.0
39 3 3 1 3 0.0 3755 8 3 8 0.14480067496308796 1.0
36 1 3 2 4 1.0 5079 12 7 7 0.21461716937354988 1.0
36 3 3 2 2 0.0 5228 10 7 9 0.22247416156928917 1.0
37 3 3 2 2 0.0 4197 18 0 1 0.16810799409407298 1.0
51 4 3 5 2 1.0 19847 31 10 29 0.9933558321029319 1.0
49 1 3 4 2 0.0 16413 27 2 4 0.8122758911622021 1.0
43 3 2 1 3 0.0 2437 6 0 1 0.07530056950010547 0.0
33 4 3 2 2 0.0 4302 4 2 3 0.1736448006749631 1.0
46 4 3 3 3 1.0 10845 13 7 8 0.5186669479012866 1.0
56 1 3 1 4 0.0 2587 5 2 4 0.08321029318709133 0.0
32 4 1 2 4 1.0 4668 9 7 8 0.1929445264712086 1.0
30 2 2 2 1 0.0 9714 10 8 10 0.4590276313014132 0.0
27 1 3 2 4 0.0 4227 4 2 3 0.16968993883147016 1.0
42 3 3 3 1 0.0 13348 18 7 13 0.6506538704914575 1.0
20 4 2 1 1 0.0 2600 1 0 1 0.08389580257329678 0.0
50 4 3 1 2 0.0 3875 4 2 2 0.15112845391267665 1.0
19 2 2 1 4 0.0 1102 1 0 1 0.004904028685931238 0.0
31 1 3 1 3 0.0 3067 3 2 2 0.10852140898544611 1.0
29 3 3 1 4 0.0 2157 3 1 3 0.06053575195106518 1.0
42 4 3 1 3 0.0 3968 8 0 0 0.15603248259860789 1.0
36 2 2 2 3 0.0 5673 10 9 10 0.2459396751740139 1.0
42 3 3 4 1 0.0 13758 22 9 21 0.6722737819025522 0.0
46 3 3 4 1 0.0 17048 28 15 26 0.8457603881037756 1.0
39 2 2 4 4 0.0 12031 21 9 20 0.5812064965197216 1.0
30 4 3 1 3 1.0 2693 1 0 1 0.08879983125922801 1.0
36 1 2 2 4 0.0 5810 10 4 10 0.25316388947479435 1.0
41 2 1 1 4 1.0 2778 10 7 7 0.09328200801518667 0.0
22 2 2 1 3 0.0 2814 4 2 4 0.09518034170006327 1.0
21 1 2 1 2 0.0 2174 3 2 3 0.061432187302256906 0.0
41 2 4 1 3 0.0 3376 10 6 10 0.124815439780637 1.0
45 2 1 3 1 1.0 10851 24 7 7 0.5189833368487661 1.0
29 1 3 2 4 1.0 8853 6 4 6 0.4136258173381143 1.0
51 3 3 1 4 0.0 2723 1 0 1 0.09038177599662518 1.0
34 3 2 2 4 0.0 5747 16 10 15 0.24984180552626029 1.0
40 4 3 1 1 0.0 2018 15 4 5 0.053206074667791606 0.0
42 1 3 3 1 0.0 13191 20 0 1 0.6423750263657456 1.0
39 4 4 3 3 0.0 8237 11 6 7 0.38114321873022566 1.0
40 2 3 1 2 0.0 2387 7 2 4 0.07266399493777684 1.0
45 1 3 3 2 1.0 7441 10 8 10 0.339168951697954 1.0
40 3 3 1 3 0.0 2001 20 3 5 0.052309639316599876 1.0
34 2 3 3 1 1.0 9950 11 2 3 0.4714722632356043 0.0
32 3 3 3 4 0.0 11159 10 7 7 0.5352246361527104 1.0
50 4 2 3 1 1.0 13269 19 11 14 0.6464880826829783 1.0
37 1 3 1 4 1.0 2793 13 8 9 0.09407298038388526 1.0
29 3 3 3 4 0.0 7553 9 7 8 0.34507487871757014 0.0
31 1 3 3 1 0.0 9637 9 2 3 0.4549673064754271 1.0
38 4 2 1 3 0.0 3702 5 4 5 0.14200590592701962 1.0
27 4 3 2 3 0.0 9981 7 7 7 0.47310693946424803 1.0
41 3 3 1 1 0.0 2238 7 0 5 0.06480700274203754 1.0
40 3 2 5 3 0.0 19626 21 7 20 0.9817021725374394 1.0
30 3 3 2 1 1.0 4115 8 3 4 0.16378401181185404 1.0
30 3 3 2 3 1.0 3491 10 7 10 0.13087956127399283 1.0
34 2 3 1 2 1.0 2008 1 0 1 0.052678759755325884 1.0
40 4 3 2 1 0.0 4639 5 4 5 0.191415313225058 1.0
29 4 3 1 2 1.0 2297 2 2 2 0.06791816072558532 1.0
46 4 3 5 2 0.0 19081 25 2 4 0.9529635098080573 1.0
41 3 3 3 3 1.0 8189 12 7 9 0.37861210715039023 1.0
39 1 1 2 3 0.0 5736 10 2 3 0.249261759122548 1.0
29 4 3 1 2 1.0 3291 8 5 7 0.12033326302467834 1.0
52 4 3 4 4 0.0 16555 31 2 5 0.8197637629192154 1.0
37 3 3 1 3 0.0 2996 8 4 6 0.10477747310693947 1.0
44 3 3 1 4 1.0 3195 8 2 2 0.11527103986500738 1.0
45 1 3 2 1 0.0 4286 5 1 1 0.17280109681501793 0.0
47 2 3 2 3 0.0 2976 5 0 0 0.10372284328200801 1.0
37 4 3 1 1 1.0 3034 18 7 18 0.10678126977430921 1.0
41 2 3 2 4 0.0 5993 8 4 6 0.2628137523729171 0.0
57 4 3 2 3 0.0 6755 15 2 3 0.3029951487028053 1.0
18 3 3 1 3 0.0 1904 0 0 0 0.04719468466568234 0.0
32 3 3 2 4 1.0 6667 9 1 5 0.29835477747310696 1.0
33 1 3 3 1 0.0 8564 11 0 0 0.3983864163678549 0.0
32 4 3 1 4 1.0 2314 4 0 3 0.06881459607677705 1.0
39 1 2 1 1 0.0 3646 11 0 1 0.13905294241721156 0.0
58 3 2 3 1 0.0 10008 31 9 10 0.4745306897279055 0.0
31 2 3 2 4 0.0 6582 10 5 6 0.29387260071714827 1.0
39 3 3 1 1 0.0 3904 6 2 5 0.15265766715882725 0.0
27 3 3 3 1 0.0 7412 9 7 9 0.3376397384518034 1.0
44 3 3 1 3 0.0 2936 6 4 6 0.10161358363214512 0.0
45 4 3 1 4 1.0 2270 8 3 5 0.06649441046192786 1.0
40 3 2 4 2 0.0 13503 22 3 22 0.6588272516346763 1.0
47 3 3 3 2 0.0 11957 14 8 13 0.5773043661674753 1.0
34 4 3 1 2 0.0 2311 9 2 3 0.06865640160303733 1.0
44 4 3 2 4 0.0 4541 20 11 20 0.1862476270828939 1.0
36 1 4 2 1 0.0 4639 17 7 15 0.191415313225058 1.0
27 1 1 1 3 0.0 4621 3 2 3 0.1904661463826197 1.0
24 1 3 1 2 0.0 3202 6 3 5 0.11564016030373339 0.0
39 3 3 3 3 0.0 10938 20 6 19 0.5235709765872179 1.0
36 4 2 1 3 0.0 3388 2 0 1 0.12544821767559586 0.0
50 3 3 3 4 0.0 9208 16 2 2 0.43234549673064754 1.0
41 4 3 4 2 0.0 16015 22 10 22 0.7912887576460662 1.0
31 4 3 2 3 0.0 6179 10 2 10 0.27262180974477956 0.0
39 3 2 5 4 0.0 19272 21 9 21 0.9630352246361528 1.0
44 2 3 1 4 0.0 2436 6 3 4 0.0752478380088589 1.0
33 4 2 2 2 0.0 4320 5 3 5 0.1745939675174014 1.0
33 3 3 2 3 1.0 7104 6 0 5 0.3213984391478591 1.0
37 3 2 2 4 1.0 5731 9 2 6 0.2489981016663151 1.0
37 3 3 1 1 0.0 3452 17 4 5 0.1288230331153765 1.0
27 3 3 1 1 1.0 3041 5 3 4 0.10715039021303523 0.0
29 3 2 1 2 0.0 2546 6 2 2 0.08104830204598186 0.0
44 1 2 3 4 0.0 10248 24 6 22 0.4871862476270829 1.0
23 1 4 1 1 0.0 2819 5 2 3 0.09544399915629614 1.0
43 4 4 1 4 1.0 2089 7 4 5 0.05695001054629825 1.0
29 2 3 1 3 1.0 3339 10 7 7 0.12286437460451381 0.0
27 4 2 1 1 0.0 4774 8 6 7 0.1985340645433453 1.0
46 3 3 3 2 0.0 7314 14 7 8 0.33247205230963933 0.0
